order_id,order_date,ship_date,order_status,customer_id,product_id,product_name,category,sub_category,quantity,unit_price,sales,discount,profit,state,country,region,shipping_mode
ORD100000,2024-02-28,2024-03-02,Returned,CUST5813,PROD633,Furniture Product,Home & Kitchen,Furniture,1,414.06,414.06,98.6,244.17,Queensland,UAE,West,Standard
ORD100001,2024-06-22,2024-06-28,Shipped,CUST8108,PROD732,Laptop Product,Electronics,Laptop,1,171.8,171.8,10.35,130.14,Karnataka,Brazil,Central,Same Day
ORD100002,2023-04-29,2023-05-03,Shipped,CUST4423,PROD739,Accessories Product,Electronics,Accessories,1,28.06,28.06,2.13,22.87,Texas,USA,West,Standard
ORD100003,2024-06-29,2024-06-30,Returned,CUST4276,PROD598,Fitness Product,Sports,Fitness,1,53.82,53.82,5.93,34.69,Maharashtra,India,Central,Standard
ORD100004,2024-01-31,2024-02-03,Returned,CUST8358,PROD152,Furniture Product,Home & Kitchen,Furniture,2,90.35,180.7,3.87,141.61,Texas,Germany,West,First Class
ORD100005,2024-01-16,2024-01-21,Cancelled,CUST8956,PROD750,Fiction Product,Books,Fiction,4,435.25,1741.0,180.36,1053.08,Texas,Brazil,South,Standard
ORD100006,2023-10-29,2023-10-31,In Transit,CUST7708,PROD816,Mobile Product,Electronics,Mobile,5,268.81,1344.05,40.86,1116.97,Queensland,UAE,East,Standard
ORD100007,2023-04-11,2023-04-15,Delivered,CUST5800,PROD953,Decor Product,Home & Kitchen,Decor,3,35.26,105.78,12.32,66.26,Karnataka,USA,Central,Second Class
ORD100008,2023-01-22,2023-01-23,Shipped,CUST5856,PROD115,Accessories Product,Electronics,Accessories,3,7.2,21.6,3.47,13.31,New York,Australia,Central,First Class
ORD100009,2024-09-06,2024-09-11,Shipped,CUST2654,PROD672,Outdoor Product,Sports,Outdoor,4,444.66,1778.64,23.43,1225.73,Texas,India,South,First Class
ORD100010,2023-05-16,2023-05-21,Shipped,CUST5046,PROD135,Fiction Product,Books,Fiction,1,34.32,34.32,7.38,20.83,Queensland,India,North,Same Day
ORD100011,2023-05-05,2023-05-12,Shipped,CUST7726,PROD597,Outdoor Product,Sports,Outdoor,5,176.21,881.05,13.12,700.8,Tamil Nadu,UK,East,First Class
ORD100012,2024-10-28,2024-10-29,In Transit,CUST1093,PROD102,Fiction Product,Books,Fiction,4,320.21,1280.84,341.04,619.75,Delhi,Germany,East,Second Class
ORD100013,2024-10-26,2024-10-29,Cancelled,CUST7095,PROD483,Laptop Product,Electronics,Laptop,4,375.85,1503.4,145.56,1090.33,Ontario,UAE,Central,Same Day
ORD100014,2023-12-02,2023-12-09,In Transit,CUST5404,PROD132,Fitness Product,Sports,Fitness,4,482.98,1931.92,367.04,1347.33,New York,Brazil,North,Same Day
ORD100015,2024-08-04,2024-08-08,In Transit,CUST6875,PROD176,Accessories Product,Electronics,Accessories,1,143.63,143.63,40.38,88.09,Tamil Nadu,Japan,North,Standard
ORD100016,2023-11-29,2023-12-04,In Transit,CUST5678,PROD709,Fitness Product,Sports,Fitness,4,145.89,583.56,89.65,402.63,Tamil Nadu,France,East,Standard
ORD100017,2023-03-04,2023-03-08,Cancelled,CUST4675,PROD477,Men Product,Fashion,Men,5,313.38,1566.9,53.87,1255.94,Karnataka,UAE,East,First Class
ORD100018,2023-11-20,2023-11-24,Delivered,CUST6076,PROD614,Education Product,Books,Education,2,285.27,570.54,39.1,403.03,California,UK,Central,Standard
ORD100019,2024-09-10,2024-09-12,In Transit,CUST4639,PROD810,Outdoor Product,Sports,Outdoor,4,271.75,1087.0,322.69,449.13,Maharashtra,France,North,Same Day
ORD100020,2024-02-29,2024-03-07,Returned,CUST4846,PROD868,Outdoor Product,Sports,Outdoor,5,315.89,1579.45,277.37,1114.48,Karnataka,Canada,North,Same Day
ORD100021,2024-07-02,2024-07-08,Shipped,CUST2501,PROD749,Education Product,Books,Education,4,105.14,420.56,13.35,348.66,New York,USA,Central,First Class
ORD100022,2023-11-10,2023-11-14,Returned,CUST6427,PROD269,Accessories Product,Electronics,Accessories,4,245.25,981.0,234.05,627.77,Delhi,UK,West,Same Day
ORD100023,2024-07-19,2024-07-21,Cancelled,CUST8069,PROD901,Appliances Product,Home & Kitchen,Appliances,4,276.68,1106.72,214.77,676.96,Ontario,USA,South,First Class
ORD100024,2023-03-30,2023-04-04,Cancelled,CUST5657,PROD464,Indoor Product,Sports,Indoor,5,171.82,859.1,214.16,543.25,Delhi,Canada,South,First Class
ORD100025,2024-11-27,2024-11-29,Delivered,CUST1493,PROD425,Furniture Product,Home & Kitchen,Furniture,5,490.23,2451.15,292.85,1630.84,Texas,Germany,Central,Standard
ORD100026,2023-09-08,2023-09-10,Delivered,CUST2932,PROD522,Men Product,Fashion,Men,5,293.64,1468.2,71.16,1098.38,New York,Italy,West,First Class
ORD100027,2024-07-31,2024-08-01,Returned,CUST4493,PROD492,Women Product,Fashion,Women,2,465.75,931.5,253.36,499.64,Queensland,UAE,West,Same Day
ORD100028,2023-01-26,2023-01-28,Delivered,CUST1118,PROD577,Laptop Product,Electronics,Laptop,1,423.78,423.78,55.25,301.42,Ontario,Australia,Central,Standard
